#{"t_start": 1777335602.488024, "env_id": "MountainCarContinuous-v0"}
r,l,t
29.0,71,508.004011
29.0,71,508.642225
29.0,72,509.288927
28.0,72,509.92245
28.0,72,510.560768
29.0,71,511.243784
26.0,74,511.916059
28.0,73,512.596668
30.0,70,513.25729
28.0,72,513.926438
31.0,69,514.529767
30.0,70,515.239164
27.0,73,515.971487
29.0,71,516.603488
28.0,72,517.230161
28.0,73,517.863221
28.0,72,518.4769
29.0,71,519.098019
27.0,73,519.703987
29.0,72,520.326913
28.0,72,520.965024
31.0,70,521.608064
26.0,74,522.280123
25.0,75,522.985346
27.0,73,523.61919
29.0,71,524.272628
29.0,71,524.839487
29.0,71,525.47057
32.0,68,526.207485
32.0,69,526.863652
32.0,68,527.497685
31.0,69,528.128981
31.0,69,528.689364
32.0,69,529.397945
30.0,70,530.165877
30.0,71,530.849245
27.0,74,531.575637
29.0,71,532.230863
28.0,72,532.867888
24.0,77,533.551871
31.0,69,534.203513
29.0,71,534.854046
27.0,73,535.499924
28.0,72,536.1676
27.0,73,536.83656
33.0,68,537.404836
28.0,72,538.097699
20.0,80,538.83011
24.0,76,539.551772
27.0,73,540.204451
30.0,70,540.862868
27.0,73,541.521044
30.0,71,542.194651
25.0,75,542.856537
27.0,74,543.500894
29.0,72,544.144749
29.0,71,544.78426
29.0,71,545.423408
28.0,72,546.060125
29.0,71,546.729733
28.0,73,547.400421
26.0,74,548.044867
25.0,75,548.752306
28.0,72,549.392225
31.0,69,549.95856
24.0,76,550.667506
29.0,71,551.312094
27.0,73,552.015956
28.0,73,552.663388
27.0,73,553.311593
29.0,71,553.958158
31.0,69,554.604199
26.0,74,555.271557
28.0,72,555.928807
30.0,70,556.585443
30.0,72,557.24503
29.0,71,557.958859
31.0,69,558.541039
28.0,72,559.194326
31.0,69,559.851619
25.0,76,560.515162
29.0,71,561.166736
30.0,70,561.855573
28.0,72,562.554062
27.0,73,563.200785
30.0,70,563.851089
30.0,70,564.500527
26.0,74,565.161925
28.0,72,565.835793
24.0,77,566.499954
27.0,73,567.226949
27.0,73,567.868161
28.0,72,568.510972
31.0,69,569.076515
31.0,69,569.707933
30.0,70,570.371833
25.0,75,571.037926
30.0,70,571.681735
26.0,74,572.345213
27.0,73,573.026205
28.0,72,573.748792
31.0,69,574.387277
28.0,72,575.022459
30.0,70,575.686096
31.0,69,576.263879
27.0,73,576.902156
32.0,68,577.546424
27.0,73,578.193873
32.0,68,578.761416
31.0,69,579.517242
28.0,72,580.228773
29.0,71,580.870857
30.0,70,581.517552
30.0,70,582.156284
29.0,71,582.859954
25.0,75,583.592823
26.0,74,584.241727
27.0,73,584.879808
26.0,74,585.586711
29.0,71,586.348688
31.0,69,586.99492
29.0,71,587.645235
27.0,74,588.281437
26.0,74,588.982934
30.0,70,589.629703
28.0,72,590.288257
28.0,72,590.950109
26.0,74,591.619917
25.0,75,592.339667
29.0,71,593.017549
30.0,70,593.682076
31.0,69,594.332106
22.0,78,595.061703
25.0,75,595.708572
28.0,72,596.361262
31.0,69,597.02008
23.0,77,597.679513
27.0,74,598.337478
29.0,71,598.981683
31.0,69,599.626926
30.0,70,600.294898
27.0,74,600.935745
24.0,76,601.575621
28.0,72,602.225251
29.0,71,602.861478
30.0,70,603.492556
30.0,70,604.133226
28.0,72,604.769404
31.0,70,605.41514
28.0,72,606.079938
27.0,73,606.724198
28.0,72,607.372364
28.0,72,608.021219
30.0,70,608.599584
29.0,71,609.241956
30.0,70,609.881001
30.0,70,610.521496
26.0,74,611.173808
29.0,71,611.852867
31.0,69,612.577513
28.0,73,613.220112
27.0,73,613.864481
24.0,76,614.507358
32.0,68,615.148795
31.0,69,615.708967
28.0,72,616.343138
29.0,71,617.001122
31.0,69,617.697945
27.0,73,618.343457
31.0,69,619.003038
28.0,72,619.658296
28.0,72,620.334428
29.0,71,621.023189
28.0,72,621.705015
32.0,68,622.313428
32.0,68,623.005749
27.0,73,623.747586
22.0,78,624.451724
29.0,71,625.152983
29.0,71,625.895139
28.0,72,626.61329
24.0,76,627.366786
32.0,68,627.974374
29.0,71,628.647292
29.0,71,629.456692
31.0,70,630.123175
26.0,74,630.779362
28.0,72,631.436036
32.0,68,632.024653
32.0,68,632.676803
25.0,75,633.340508
27.0,73,634.118386
26.0,74,635.007763
25.0,75,635.669231
28.0,72,636.343354
30.0,70,637.046508
30.0,70,637.75972
29.0,71,638.348724
30.0,71,638.983029
27.0,73,639.600941
29.0,71,640.230643
31.0,69,640.851418
29.0,71,641.468825
28.0,72,642.112461
