#{"t_start": 1777334239.2332623, "env_id": "MountainCarContinuous-v0"}
r,l,t
-23.0,123,241.872459
-24.0,124,242.184525
-31.0,131,242.512605
-30.0,130,242.852465
-28.0,128,243.180073
-31.0,131,243.508476
-33.0,133,243.849923
31.0,69,244.013769
-43.0,143,244.379265
-36.0,136,244.730052
-26.0,126,245.04092
-31.0,131,245.381915
-32.0,132,245.745446
29.0,71,245.934314
30.0,70,246.090308
30.0,70,246.259888
31.0,69,246.44573
31.0,69,246.61508
30.0,70,246.800798
-24.0,125,247.116727
-26.0,126,247.45462
-29.0,129,247.786491
-36.0,136,248.142221
-26.0,126,248.456923
30.0,70,248.646862
-41.0,141,249.006046
-36.0,136,249.355735
-25.0,125,249.670143
-26.0,126,250.006873
-26.0,126,250.341183
30.0,70,250.521308
-41.0,141,250.871777
25.0,75,251.079804
-30.0,130,251.412462
-32.0,132,251.742524
-31.0,132,252.075955
26.0,74,252.251655
24.0,76,252.442429
-26.0,126,252.739085
30.0,70,252.925725
-27.0,127,253.241068
30.0,70,253.424111
-24.0,124,253.734041
-26.0,126,254.05891
-44.0,144,254.419248
-24.0,124,254.745127
-29.0,129,255.069988
-34.0,134,255.406661
-27.0,127,255.740331
-40.0,140,256.11353
-44.0,144,256.494995
25.0,75,256.685319
-27.0,127,257.020199
-33.0,133,257.375701
-26.0,126,257.698665
-25.0,125,258.028392
-23.0,123,258.337408
30.0,70,258.524612
28.0,72,258.715551
-41.0,141,259.084245
-29.0,130,259.419531
-32.0,132,259.774608
-37.0,137,260.13358
-35.0,135,260.479532
-31.0,131,260.808104
-23.0,123,261.12301
-23.0,123,261.43836
30.0,70,261.599894
-34.0,134,261.944646
31.0,70,262.123419
-24.0,124,262.432261
-36.0,136,262.788078
-27.0,127,263.110579
-30.0,130,263.457269
-24.0,124,263.779191
-27.0,127,264.090659
30.0,70,264.279436
-29.0,129,264.635144
-40.0,140,264.998065
-36.0,136,265.350562
-34.0,134,265.691038
-39.0,139,266.045537
-26.0,126,266.384536
30.0,70,266.559471
27.0,73,266.750266
-45.0,145,267.103455
-31.0,131,267.425103
-24.0,124,267.741588
30.0,70,267.930606
-30.0,130,268.24303
-28.0,128,268.576779
-28.0,128,268.896552
27.0,73,269.081727
-39.0,139,269.450661
24.0,76,269.646217
29.0,71,269.832656
-28.0,128,270.1643
30.0,70,270.352735
-31.0,132,270.669465
-38.0,139,270.998293
-23.0,123,271.292549
30.0,70,271.472853
-29.0,129,271.803937
-25.0,125,272.092356
-34.0,134,272.444437
-25.0,125,272.763609
-26.0,126,273.097698
-39.0,139,273.452234
-30.0,130,273.777857
29.0,71,273.965036
-27.0,127,274.300029
-42.0,142,274.677932
-31.0,131,275.01302
-35.0,135,275.367367
-30.0,130,275.666021
-27.0,127,275.998516
28.0,72,276.184326
-26.0,126,276.52756
-23.0,123,276.838166
-39.0,139,277.206331
29.0,71,277.374776
-23.0,123,277.699861
-31.0,132,278.02374
30.0,70,278.205337
-44.0,144,278.577923
30.0,70,278.76328
-35.0,135,279.124172
-45.0,145,279.46057
-28.0,129,279.789083
30.0,70,279.975908
-29.0,129,280.313541
-40.0,140,280.679052
-28.0,128,281.002239
-34.0,134,281.351385
-40.0,141,281.718611
-33.0,133,282.051314
30.0,70,282.236479
-32.0,132,282.592577
-38.0,138,282.958088
-28.0,128,283.29356
-29.0,130,283.627818
-28.0,128,283.955092
-21.0,121,284.264373
-17.0,117,284.571201
-32.0,132,284.897247
-31.0,131,285.246382
-34.0,134,285.568678
-19.0,119,285.881787
-24.0,124,286.213675
-22.0,122,286.531043
-39.0,139,286.890481
-41.0,141,287.235637
-24.0,124,287.568034
-31.0,132,287.892448
-20.0,120,288.205492
-24.0,124,288.5417
-21.0,121,288.867059
-23.0,123,289.18056
-31.0,131,289.512581
-40.0,140,289.889265
-20.0,120,290.20039
-26.0,126,290.526178
-30.0,130,290.859032
-36.0,136,291.196716
-25.0,125,291.526241
-19.0,119,291.814692
-26.0,126,292.157102
-18.0,118,292.472868
-30.0,130,292.805576
-17.0,118,293.112621
-25.0,125,293.447227
5.0,95,293.727947
-20.0,120,294.044523
-29.0,129,294.404072
-23.0,123,294.754071
-18.0,118,295.072735
-28.0,128,295.403629
-28.0,128,295.73348
-15.0,116,296.031864
-21.0,121,296.371198
-21.0,121,296.695738
-25.0,125,297.034431
-20.0,120,297.351028
-17.0,117,297.657861
-31.0,131,297.990762
-32.0,132,298.34894
-30.0,130,298.702853
-32.0,132,299.035433
-26.0,126,299.378373
-27.0,127,299.716219
-26.0,126,300.054943
-20.0,120,300.370107
-19.0,119,300.672301
-94.0,194,301.164985
-23.0,123,301.470325
-17.0,117,301.782812
-15.0,115,302.075577
-20.0,120,302.396721
-18.0,118,302.699715
-37.0,138,303.06375
-26.0,126,303.38571
-27.0,127,303.725797
-64.0,165,304.149168
5.0,95,304.390089
-18.0,118,304.704249
-25.0,125,305.021292
-25.0,125,305.342781
-62.0,162,305.766374
-23.0,123,306.077065
-62.0,162,306.498885
-17.0,117,306.80897
-26.0,127,307.135138
-59.0,159,307.550857
-65.0,165,307.964735
-16.0,116,308.280911
-19.0,119,308.595991
-26.0,126,308.904792
-26.0,126,309.227519
-70.0,170,309.664377
-63.0,163,310.103514
-21.0,121,310.419449
-53.0,153,310.810652
-23.0,123,311.113394
-19.0,119,311.420147
-63.0,163,311.853571
-22.0,122,312.161108
-58.0,158,312.566559
-39.0,139,312.914579
-19.0,119,313.204145
-84.0,184,313.664233
-18.0,119,313.982062
-19.0,119,314.294511
-24.0,124,314.612203
-24.0,124,314.944043
-20.0,120,315.260358
-58.0,158,315.659065
-19.0,120,315.973389
-24.0,124,316.355166
-51.0,151,316.834763
-20.0,120,317.163204
-71.0,175,317.640758
-66.0,166,318.083443
-19.0,119,318.417891
-47.0,148,318.860117
-21.0,121,319.187141
-21.0,121,319.498375
-21.0,121,319.826392
-42.0,142,320.207913
-48.0,148,320.588216
-22.0,122,320.91814
-21.0,121,321.22771
-64.0,164,321.653481
-21.0,121,321.967535
-55.0,155,322.381688
-21.0,121,322.683844
-56.0,157,323.085957
-54.0,154,323.473093
-20.0,120,323.786868
-59.0,159,324.180673
-62.0,162,324.60094
-64.0,164,325.017518
-71.0,174,325.478934
-20.0,120,325.792319
-65.0,165,326.228348
-19.0,119,326.544263
-21.0,121,326.85488
-56.0,156,327.260087
-56.0,156,327.681821
-22.0,122,327.995399
-22.0,122,328.309644
-18.0,118,328.619807
-21.0,121,328.932929
-57.0,157,329.358438
-37.0,137,329.717374
-20.0,120,330.034219
-51.0,152,330.435763
-21.0,121,330.741627
-18.0,118,331.057853
-21.0,121,331.371397
-18.0,118,331.683438
-88.0,188,332.161129
-54.0,155,332.562682
-54.0,154,332.974091
-20.0,121,333.288111
-64.0,164,333.707015
-71.0,171,334.154819
-70.0,170,334.583052
-67.0,167,335.015846
-23.0,123,335.32331
-38.0,138,335.683197
-27.0,127,336.017415
6.0,94,336.262867
-21.0,121,336.575026
-18.0,118,336.894765
-60.0,161,337.318681
-25.0,125,337.650692
-26.0,127,337.98405
-24.0,124,338.309707
6.0,94,338.558446
6.0,94,338.810624
-21.0,121,339.127947
4.0,96,339.380842
-22.0,122,339.696184
-19.0,119,340.014451
-18.0,118,340.330457
-22.0,122,340.642961
-20.0,120,340.957403
5.0,95,341.210032
5.0,95,341.462691
